,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2942,10,24,0,0,1,0,0,6,0,0,0,0,8,0,10,57,2,0,2,6
B--DE--0014,58,2714,26,0,3,11,5,0,75,6,0,0,19,9,0,23,50,40,19,9,1
B--DE--0021,40,29,2808,0,2,4,0,0,39,4,0,0,0,4,0,30,61,6,4,28,9
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,2,2,0,0,2213,3,8,0,6,0,0,0,1,9,0,4,3,22,25,2,1
B--FE--0014,4,3,4,0,0,2116,7,0,10,1,0,47,11,5,0,6,2,6,50,12,18
B--FE--0021,0,2,0,0,20,39,2157,0,0,0,0,1,5,25,0,1,0,0,41,4,7
IR--DE--0007,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,0,4,0,0,0
IR--DE--0014,6,12,25,0,9,3,0,0,2794,0,0,0,0,6,0,37,14,32,2,0,0
IR--DE--0021,0,8,21,0,0,8,0,0,2,2998,0,0,3,0,0,8,1,19,0,0,0
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,8,14,0,0,0,1,0,2258,0,1,0,2,0,1,5,3,8
IR--FE--0014,4,10,0,0,6,10,4,0,0,2,0,4,2192,39,0,1,0,4,9,14,3
IR--FE--0021,34,2,3,0,6,2,5,0,2,0,0,3,12,2200,0,10,0,2,3,15,2
N--N--N,0,0,1,0,0,0,0,0,5,0,0,0,0,0,13923,0,0,0,0,0,0
OR--DE--0007,20,2,42,0,1,4,1,0,35,18,0,4,0,38,0,8866,7,14,3,19,0
OR--DE--0014,214,4,36,0,1,3,6,0,7,0,0,0,0,0,0,11,2758,11,17,0,0
OR--DE--0021,53,38,25,0,7,1,1,34,51,119,0,2,11,3,0,34,37,8638,6,19,0
OR--FE--0007,2,14,0,0,18,32,30,0,0,2,0,36,23,10,0,0,9,21,6470,48,190
OR--FE--0014,8,5,14,0,2,3,0,0,0,0,0,7,11,12,0,4,0,5,16,2923,18
OR--FE--0021,0,2,2,0,1,2,2,0,0,8,0,8,17,3,0,0,0,2,51,14,2189
