,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2754,19,30,0,0,7,0,0,5,0,0,0,0,11,0,8,212,11,4,2,5
B--DE--0014,14,2776,34,0,2,10,3,0,39,5,0,0,30,12,0,12,27,76,7,19,2
B--DE--0021,42,28,2778,0,1,8,0,0,49,14,0,0,1,0,0,18,64,29,3,28,5
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,6,3,0,2078,3,106,0,3,0,0,5,0,11,0,5,8,11,57,4,1
B--FE--0014,4,5,4,0,0,2130,7,0,7,8,0,30,13,3,0,9,2,1,48,16,15
B--FE--0021,0,7,0,0,5,36,2156,0,0,0,0,3,2,13,0,0,6,2,65,2,4
IR--DE--0007,0,0,0,0,0,0,0,3031,0,0,0,3,0,0,0,0,0,34,0,0,0
IR--DE--0014,4,26,19,0,12,4,0,0,2815,0,0,0,0,2,0,15,11,27,5,0,0
IR--DE--0021,0,1,7,0,0,2,0,0,5,2994,0,3,2,0,0,15,0,36,0,1,2
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,1,22,19,0,0,2,0,2233,1,0,0,1,0,1,12,2,8
IR--FE--0014,0,3,1,0,23,9,0,0,2,2,0,1,2187,41,0,0,0,4,15,10,4
IR--FE--0021,19,0,3,0,0,12,24,0,1,0,0,0,17,2181,0,18,0,4,14,6,2
N--N--N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,7,25,33,0,0,2,1,0,39,36,0,0,2,10,0,8825,23,54,9,8,0
OR--DE--0014,95,23,39,0,0,4,0,0,10,0,0,0,1,0,0,7,2862,9,18,0,0
OR--DE--0021,14,27,8,0,8,4,1,10,41,97,0,4,11,7,1,18,34,8748,35,7,4
OR--FE--0007,4,17,1,0,11,26,30,0,0,0,0,23,22,8,0,2,6,8,6590,21,136
OR--FE--0014,2,1,23,0,0,2,4,0,0,0,0,13,25,11,0,5,0,3,81,2846,12
OR--FE--0021,2,2,13,0,0,2,2,0,1,3,0,7,15,5,0,0,0,1,47,16,2185
