,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2812,2,12,0,0,4,0,0,1,0,0,0,2,44,1,10,144,29,3,1,3
B--DE--0014,49,2740,37,0,4,8,3,1,29,11,0,2,23,10,0,23,20,57,40,7,4
B--DE--0021,63,7,2661,0,1,19,0,0,19,8,0,0,1,16,0,43,149,12,3,41,25
B--DE--0028,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,6,3,0,2169,6,21,1,9,0,0,0,23,6,0,2,1,12,21,14,8
B--FE--0014,4,2,1,0,0,2164,11,0,0,1,0,34,12,2,0,2,2,3,32,5,26
B--FE--0021,0,1,0,0,6,32,2198,0,0,0,0,2,9,11,0,0,0,1,36,2,4
IR--DE--0007,0,0,0,0,0,0,0,3065,0,0,0,0,0,0,0,0,0,3,0,0,0
IR--DE--0014,12,38,46,0,11,20,0,0,2688,0,0,0,1,4,0,49,18,48,3,0,1
IR--DE--0021,0,7,14,0,0,0,0,0,2,2973,0,1,5,0,0,8,0,54,0,0,4
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,13,14,1,0,0,3,0,2258,0,0,0,1,0,1,2,5,4
IR--FE--0014,1,9,0,0,0,3,0,0,0,9,0,2,2196,60,0,0,0,3,8,8,2
IR--FE--0021,6,3,0,0,2,6,27,0,1,0,0,1,8,2219,0,3,0,4,6,15,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,4,2,42,0,1,14,0,0,32,20,0,0,2,25,0,8886,12,27,2,5,0
OR--DE--0014,118,17,14,0,2,6,1,0,2,0,0,0,3,0,0,14,2867,23,1,0,0
OR--DE--0021,19,43,12,0,11,8,0,11,40,74,0,2,13,6,0,46,16,8765,9,2,2
OR--FE--0007,8,15,2,0,22,43,114,2,1,0,0,51,19,9,0,1,24,31,6315,37,211
OR--FE--0014,7,5,3,0,1,19,3,0,0,1,0,4,17,23,0,1,1,20,15,2869,38
OR--FE--0021,3,2,0,0,0,7,4,0,0,11,0,8,13,9,0,0,0,3,36,11,2195
