,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2686,34,91,0,0,4,0,0,16,0,0,0,2,22,1,24,165,17,1,4,1
B--DE--0014,75,2337,107,0,4,12,11,0,90,26,0,0,73,11,3,90,55,129,31,8,6
B--DE--0021,166,16,2458,0,0,17,0,0,62,31,0,0,1,3,4,116,129,8,2,38,17
B--DE--0028,0,0,0,761,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
B--FE--0007,1,12,8,0,1934,1,91,2,20,1,0,22,18,33,0,20,2,43,88,6,0
B--FE--0014,23,8,3,0,2,1878,39,0,30,6,0,85,34,16,0,55,3,4,90,17,9
B--FE--0021,0,6,0,0,27,16,2014,0,1,0,0,7,13,40,0,3,11,0,145,5,13
IR--DE--0007,0,0,0,0,0,0,0,3055,0,0,0,1,0,0,0,0,0,10,1,0,1
IR--DE--0014,19,40,67,0,10,11,4,0,2541,5,0,1,1,6,1,126,24,72,10,0,1
IR--DE--0021,0,0,5,0,0,3,0,1,2,2913,0,4,15,0,0,60,0,64,0,1,0
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,0,15,3,4,1,5,0,2192,3,1,0,11,0,5,45,7,10
IR--FE--0014,1,8,0,0,10,13,2,0,0,43,0,9,2100,44,0,0,2,9,21,22,17
IR--FE--0021,30,0,5,0,4,6,16,1,2,0,0,8,48,2091,0,39,0,12,9,30,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,23,10,25,0,0,11,0,0,108,23,0,4,0,24,0,8793,11,32,2,8,0
OR--DE--0014,198,6,93,0,2,5,6,0,22,2,0,0,3,0,0,23,2677,12,18,0,1
OR--DE--0021,41,56,48,0,27,6,2,42,140,205,0,5,16,10,6,141,68,8215,38,10,2
OR--FE--0007,6,58,18,0,28,57,99,17,4,1,0,77,42,66,0,8,24,59,6093,75,173
OR--FE--0014,2,3,71,0,2,19,6,1,0,6,0,10,48,66,0,28,0,12,49,2681,23
OR--FE--0021,1,3,33,0,1,13,2,2,0,11,0,46,64,4,0,1,0,7,263,26,1825
