,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2718,41,97,0,0,7,0,0,5,1,0,0,3,24,2,11,99,24,8,28,0
B--DE--0014,81,2431,73,0,4,12,6,0,35,19,0,0,54,2,0,49,41,167,67,22,5
B--DE--0021,189,59,2391,0,0,5,0,0,55,41,0,0,0,2,0,84,96,21,17,95,13
B--DE--0028,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0
B--FE--0007,2,14,3,0,1778,1,231,1,9,1,0,18,13,25,0,7,11,45,135,8,0
B--FE--0014,27,10,4,0,0,1802,41,0,21,15,0,50,31,24,0,34,7,2,158,65,10
B--FE--0021,0,4,0,0,48,19,1954,0,0,0,0,4,18,46,0,2,4,0,184,16,3
IR--DE--0007,0,0,0,0,0,0,0,3051,0,0,0,2,0,0,0,0,0,8,5,0,2
IR--DE--0014,25,98,86,0,23,12,5,0,2358,10,0,0,2,7,1,158,24,110,19,0,1
IR--DE--0021,0,3,1,0,0,0,0,0,0,2934,0,6,18,0,0,31,0,72,0,2,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,1,0,0,39,10,2,0,14,0,2129,3,1,0,5,0,6,65,21,6
IR--FE--0014,0,8,0,0,30,15,4,0,0,36,0,5,2091,31,0,0,0,6,29,36,10
IR--FE--0021,23,0,0,0,2,8,23,0,1,0,0,1,38,2082,0,8,0,6,29,81,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,46,9,77,0,2,17,1,4,55,34,0,6,0,56,0,8689,10,39,2,26,1
OR--DE--0014,268,26,113,0,4,5,25,0,7,0,0,1,6,1,0,31,2520,21,40,0,0
OR--DE--0021,45,95,36,0,26,3,2,52,84,188,0,4,21,14,0,146,38,8215,85,19,6
OR--FE--0007,9,15,6,0,17,28,102,7,1,0,0,29,49,42,0,0,13,43,6370,104,70
OR--FE--0014,4,0,7,0,1,5,1,0,0,3,0,4,18,18,0,11,1,12,88,2844,10
OR--FE--0021,4,2,54,0,0,19,9,7,0,10,0,41,86,0,0,0,0,11,404,60,1595
