,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2722,17,51,0,0,3,0,0,12,0,0,0,0,31,0,8,199,8,5,6,6
B--DE--0014,32,2704,36,0,5,8,5,0,46,6,0,1,32,8,2,9,34,100,20,11,9
B--DE--0021,23,44,2697,0,1,13,0,0,53,29,0,0,0,8,0,21,61,23,3,74,18
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,2,1,0,2096,2,103,0,7,0,0,16,0,18,0,5,4,10,31,4,2
B--FE--0014,6,6,2,0,1,2065,18,1,7,8,0,59,15,2,0,12,2,1,56,4,37
B--FE--0021,0,4,0,0,11,25,2142,0,0,0,0,1,5,22,0,0,4,0,81,1,5
IR--DE--0007,0,0,0,0,0,0,0,3052,0,0,0,0,0,1,0,0,0,15,0,0,0
IR--DE--0014,2,29,21,0,12,0,0,1,2789,1,0,0,0,2,1,40,9,31,2,0,0
IR--DE--0021,0,2,3,0,0,4,0,0,2,2974,0,1,6,1,0,9,0,50,0,1,15
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,2,10,4,0,0,7,0,2237,6,0,0,1,0,1,7,3,24
IR--FE--0014,0,5,0,0,1,6,0,0,0,1,0,0,2217,35,0,0,0,5,16,12,4
IR--FE--0021,11,3,0,0,2,6,8,0,1,0,0,1,22,2215,0,5,0,5,4,13,5
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,7,25,21,0,2,9,0,1,20,13,0,2,0,25,0,8905,7,27,6,4,0
OR--DE--0014,116,15,46,0,3,1,0,0,10,0,0,0,1,0,0,18,2836,8,14,0,0
OR--DE--0021,20,40,18,0,9,2,0,13,32,48,0,0,12,14,2,24,44,8785,8,4,4
OR--FE--0007,1,5,2,0,24,19,31,2,0,1,0,45,22,15,0,2,24,10,6569,36,97
OR--FE--0014,1,5,2,0,1,4,4,0,0,0,0,6,20,17,0,4,0,6,33,2881,44
OR--FE--0021,1,0,2,0,1,2,2,0,1,1,0,8,19,3,0,0,0,2,173,13,2073
