,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2811,5,21,0,0,3,0,0,10,0,0,0,2,6,1,7,191,8,0,3,0
B--DE--0014,36,2777,36,0,4,21,5,0,41,10,0,3,26,1,6,6,33,50,7,4,2
B--DE--0021,32,10,2809,0,0,11,0,0,43,10,0,0,0,4,1,18,65,10,2,42,11
B--DE--0028,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,1,2,1,0,2225,4,16,0,10,0,0,7,3,8,0,2,1,7,12,2,1
B--FE--0014,5,2,2,0,1,2165,16,1,5,0,0,29,39,3,0,3,1,2,8,7,12
B--FE--0021,0,2,0,0,5,37,2206,0,0,0,0,0,6,22,0,1,0,1,19,1,2
IR--DE--0007,0,0,0,0,0,0,0,3060,0,0,0,0,0,1,0,0,0,6,0,0,1
IR--DE--0014,9,49,31,0,10,1,0,0,2784,3,0,0,1,0,0,23,5,20,2,0,1
IR--DE--0021,0,2,5,0,0,3,0,0,2,2934,0,14,30,0,0,17,0,49,0,0,12
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,1,0,0,0,1,22,2,0,0,0,0,2267,1,0,0,0,0,0,7,1,0
IR--FE--0014,1,3,0,0,6,7,3,0,0,0,0,2,2238,21,0,0,0,1,11,7,1
IR--FE--0021,22,3,1,0,3,4,11,0,2,0,0,0,41,2201,0,2,0,1,2,9,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,15,13,50,0,1,9,0,0,53,3,0,5,1,29,0,8850,11,25,1,8,0
OR--DE--0014,88,13,40,0,1,11,7,0,24,0,0,1,4,0,0,12,2849,14,4,0,0
OR--DE--0021,59,47,21,0,15,13,1,12,86,75,0,6,39,21,0,23,14,8627,15,5,0
OR--FE--0007,26,26,2,0,26,128,87,0,5,1,0,36,18,26,0,0,15,9,6408,32,60
OR--FE--0014,5,7,8,0,3,16,14,0,0,0,0,5,27,29,0,5,0,15,34,2840,19
OR--FE--0021,6,6,4,0,1,28,2,0,0,2,0,24,35,4,0,0,0,2,96,7,2085
