,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2890,12,26,0,0,1,0,0,6,0,0,0,0,18,0,8,78,15,6,6,2
B--DE--0014,21,2774,33,0,7,7,4,0,29,6,0,0,21,3,0,15,30,69,32,13,4
B--DE--0021,27,23,2884,0,0,4,0,0,12,12,0,0,0,3,0,33,31,12,4,16,7
B--DE--0028,0,0,0,767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,1,1,0,2208,2,14,0,6,0,0,2,5,8,0,9,4,16,25,1,0
B--FE--0014,10,4,2,0,0,2101,9,3,5,1,0,35,15,11,0,14,11,4,47,12,17
B--FE--0021,0,6,0,0,8,26,2184,0,0,0,0,2,3,30,0,2,1,0,36,0,4
IR--DE--0007,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,0,3,1,0,0
IR--DE--0014,4,50,18,0,11,2,0,0,2782,2,0,0,0,0,2,26,7,31,3,1,0
IR--DE--0021,0,1,3,0,0,1,0,0,1,2998,0,1,10,0,0,9,0,36,1,0,7
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,1,0,0,0
IR--FE--0007,1,0,0,0,0,24,2,0,0,3,0,2250,1,0,0,0,0,2,12,5,2
IR--FE--0014,2,16,0,0,1,6,1,0,0,5,0,7,2193,20,0,0,0,9,24,10,7
IR--FE--0021,23,4,1,0,4,3,10,0,5,0,0,0,25,2185,0,10,0,2,10,20,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,2,4,14,0,0,2,1,0,30,4,0,2,1,18,0,8963,4,19,2,8,0
OR--DE--0014,76,10,31,0,1,2,3,0,2,0,0,0,1,1,0,9,2898,19,15,0,0
OR--DE--0021,15,25,13,0,13,2,0,12,44,50,0,1,8,5,0,43,19,8797,26,6,0
OR--FE--0007,9,21,4,0,17,29,32,0,1,0,0,15,17,18,0,0,14,24,6622,28,54
OR--FE--0014,3,4,16,0,8,2,1,0,0,1,0,2,16,8,0,6,0,16,41,2892,11
OR--FE--0021,3,4,13,0,1,13,3,0,0,4,0,7,18,3,0,0,0,6,79,18,2130
