,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2895,18,19,0,0,5,0,0,6,0,0,0,1,11,0,10,79,8,7,3,6
B--DE--0014,29,2754,33,0,9,6,6,0,33,5,0,0,24,4,2,17,35,64,25,13,9
B--DE--0021,26,20,2871,0,0,2,0,0,13,13,0,1,0,3,0,28,45,17,3,19,7
B--DE--0028,0,0,0,766,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,0,0,0,2207,1,11,1,13,0,0,0,2,13,0,11,4,15,21,2,0
B--FE--0014,9,7,4,0,0,2107,5,0,6,2,0,32,16,11,0,11,7,3,52,12,18
B--FE--0021,0,5,0,0,6,25,2191,0,0,1,0,3,6,22,0,1,2,0,35,0,5
IR--DE--0007,0,0,0,0,0,0,0,3061,0,0,0,0,0,0,0,0,0,5,2,0,0
IR--DE--0014,6,34,25,0,7,4,1,0,2788,3,0,1,0,2,2,25,5,31,5,0,1
IR--DE--0021,0,0,3,0,0,4,0,0,1,3001,0,1,7,0,0,4,0,44,2,0,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,1,22,0,0,0,1,0,2240,1,1,0,2,0,4,21,4,4
IR--FE--0014,1,11,1,0,5,15,1,0,0,3,0,5,2177,23,0,2,1,5,18,24,10
IR--FE--0021,17,1,8,0,5,3,11,0,5,0,0,2,13,2196,0,10,0,2,9,19,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,7,2,11,0,0,5,1,1,20,7,0,0,1,19,0,8971,2,20,2,5,0
OR--DE--0014,96,16,30,0,0,3,1,0,9,0,0,0,2,0,0,7,2877,9,18,0,0
OR--DE--0021,20,21,13,0,13,2,1,8,42,46,0,0,11,0,0,31,23,8821,21,4,2
OR--FE--0007,4,15,3,0,23,38,37,1,1,1,0,12,20,14,0,2,14,25,6598,32,65
OR--FE--0014,5,2,19,0,3,1,1,1,0,1,0,7,16,16,0,15,0,18,27,2885,11
OR--FE--0021,2,0,10,0,2,12,3,2,1,3,0,12,21,2,0,0,1,9,91,20,2110
