,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2902,24,17,0,1,6,0,0,3,0,0,0,0,20,1,3,78,5,3,4,1
B--DE--0014,20,2773,37,0,2,9,6,0,30,7,0,1,26,7,0,15,24,67,22,15,7
B--DE--0021,33,19,2874,0,2,6,0,0,13,12,0,0,0,6,0,30,34,9,1,24,5
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,0,3,0,2199,4,11,1,13,0,0,1,2,18,0,9,3,9,24,5,0
B--FE--0014,6,7,2,0,0,2128,11,1,3,4,0,30,14,8,0,13,3,1,47,6,17
B--FE--0021,0,4,0,0,3,22,2188,0,0,0,0,2,6,25,0,0,2,1,46,1,2
IR--DE--0007,0,0,0,0,0,0,0,3063,0,0,0,0,0,0,0,0,0,5,0,0,0
IR--DE--0014,5,33,22,0,8,7,0,0,2787,1,0,0,0,1,2,26,6,40,2,0,0
IR--DE--0021,0,1,6,0,0,1,0,0,2,2981,0,2,8,0,0,13,0,49,0,2,3
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,1,0,1,36,1,0,0,4,0,2224,0,0,0,1,0,1,19,4,9
IR--FE--0014,0,9,0,0,3,10,4,0,0,8,0,7,2191,28,0,1,1,5,19,11,5
IR--FE--0021,15,0,3,0,3,4,13,0,2,0,0,1,23,2188,0,14,0,5,9,22,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,2,5,21,0,1,2,0,1,38,7,0,1,0,16,0,8953,2,20,2,2,1
OR--DE--0014,111,16,38,0,1,2,6,0,11,0,0,0,0,0,0,10,2854,7,11,0,1
OR--DE--0021,13,24,14,0,13,1,0,7,54,49,0,2,5,3,0,24,23,8816,20,10,1
OR--FE--0007,3,16,4,0,23,37,37,2,3,0,0,21,21,16,0,5,14,21,6597,31,53
OR--FE--0014,3,6,14,0,3,6,3,0,0,0,0,5,25,17,0,12,0,7,40,2866,21
OR--FE--0021,5,1,11,0,2,10,2,0,0,2,0,11,22,0,0,0,0,6,92,20,2118
