,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2829,17,34,0,2,5,0,0,3,0,0,1,0,20,0,12,120,12,7,4,2
B--DE--0014,32,2708,45,0,4,5,7,0,31,4,0,0,26,7,0,25,34,85,33,18,4
B--DE--0021,34,20,2799,0,2,8,0,0,18,21,0,1,0,5,0,36,44,21,11,31,17
B--DE--0028,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
B--FE--0007,0,2,5,0,2172,1,17,0,7,0,0,4,10,22,0,7,2,16,35,1,0
B--FE--0014,6,4,4,0,1,2091,15,2,2,7,0,34,18,11,0,16,4,6,57,16,8
B--FE--0021,0,2,0,0,10,29,2162,0,0,0,0,2,6,24,0,0,6,2,53,2,3
IR--DE--0007,0,0,0,0,0,0,0,3062,0,0,0,0,0,0,0,0,0,6,0,0,0
IR--DE--0014,7,31,19,0,13,5,1,0,2782,2,0,0,0,1,4,25,9,34,6,0,1
IR--DE--0021,0,3,3,0,0,3,0,0,9,2954,0,2,5,0,0,15,0,64,3,2,5
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,2,0,0,0
IR--FE--0007,0,0,0,0,5,15,2,1,0,2,0,2238,2,0,0,1,0,2,22,4,8
IR--FE--0014,1,7,0,0,3,8,0,0,1,2,0,4,2185,37,0,0,1,5,27,13,8
IR--FE--0021,20,0,4,0,4,8,17,0,3,0,0,0,24,2166,0,14,0,7,13,20,1
N--N--N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,12,9,25,0,0,7,0,0,36,10,0,5,0,11,0,8908,6,31,8,6,0
OR--DE--0014,88,14,41,0,3,3,1,0,10,0,0,0,0,1,0,11,2872,14,10,0,0
OR--DE--0021,13,30,18,0,10,6,1,12,49,50,0,4,7,9,0,38,34,8757,30,9,2
OR--FE--0007,7,13,9,0,31,44,44,2,0,2,0,20,22,29,0,5,14,47,6496,39,81
OR--FE--0014,2,4,28,0,7,5,1,0,0,0,0,7,20,17,0,13,1,13,46,2853,11
OR--FE--0021,5,5,18,0,3,10,7,0,1,4,0,12,21,7,0,0,1,9,117,25,2056
