,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2838,23,37,0,0,3,0,0,5,0,0,0,1,20,0,8,106,9,8,4,6
B--DE--0014,35,2690,51,0,8,10,6,0,36,3,0,0,25,5,2,24,34,76,32,22,9
B--DE--0021,30,32,2818,0,1,4,0,0,17,9,0,1,0,4,0,40,59,13,8,25,7
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,0,2,0,2190,1,6,1,14,0,0,2,2,20,0,11,2,19,27,3,1
B--FE--0014,10,4,7,0,0,2090,6,0,7,4,0,29,17,13,0,13,8,5,51,20,18
B--FE--0021,0,2,0,0,8,29,2190,0,0,0,0,2,6,19,0,0,1,0,40,2,3
IR--DE--0007,0,0,0,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,6,2,0,0
IR--DE--0014,3,34,33,0,10,4,1,0,2745,2,0,2,0,3,3,40,13,38,8,0,1
IR--DE--0021,0,2,8,0,0,3,0,0,1,2980,0,1,1,0,0,4,0,60,2,1,5
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,6,23,0,0,0,2,0,2222,4,1,0,2,0,3,21,7,10
IR--FE--0014,3,12,0,0,5,15,1,0,0,3,0,10,2153,38,0,1,2,3,24,19,13
IR--FE--0021,21,1,7,0,9,1,11,0,5,0,0,3,23,2170,0,12,1,3,11,23,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,9,1,25,0,0,11,1,0,30,16,0,7,1,21,0,8905,8,30,3,6,0
OR--DE--0014,117,11,38,0,0,2,6,0,12,0,0,0,0,0,0,7,2845,12,18,0,0
OR--DE--0021,22,32,23,1,15,3,2,13,50,61,0,1,10,4,0,47,30,8716,32,14,3
OR--FE--0007,5,13,7,0,32,39,37,1,0,5,0,18,21,25,0,4,19,38,6517,41,83
OR--FE--0014,7,2,28,0,6,5,0,0,0,1,0,6,19,18,0,18,0,22,41,2835,20
OR--FE--0021,2,0,18,0,2,15,5,1,0,4,0,8,23,5,0,0,0,11,108,23,2076
