,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2832,19,36,0,0,2,0,0,5,0,0,0,1,20,0,8,114,16,6,7,2
B--DE--0014,29,2735,39,0,8,9,6,1,33,5,0,1,24,3,0,22,32,75,25,18,3
B--DE--0021,27,28,2825,0,1,1,0,0,14,17,0,0,0,5,0,44,47,18,4,26,11
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,3,5,0,2191,1,16,0,9,0,0,5,6,9,0,7,5,17,28,0,0
B--FE--0014,11,3,3,0,1,2092,14,1,4,5,0,34,15,13,0,14,12,3,35,22,19
B--FE--0021,0,4,0,0,8,33,2168,0,0,0,0,2,4,28,0,2,2,1,45,0,5
IR--DE--0007,0,0,0,0,0,0,0,3063,0,0,0,0,0,0,0,0,0,4,1,0,0
IR--DE--0014,3,53,22,0,11,3,0,0,2762,4,0,1,0,1,1,22,18,34,4,0,0
IR--DE--0021,0,2,4,0,0,0,0,0,4,2966,0,2,5,0,0,17,0,54,3,1,10
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,3,26,2,0,0,6,0,2233,1,0,0,1,0,3,16,10,1
IR--FE--0014,1,15,0,0,2,9,1,0,0,5,0,8,2161,38,0,1,1,9,25,16,9
IR--FE--0021,24,3,1,0,8,4,12,0,2,0,0,0,34,2167,0,12,0,1,12,22,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,8,6,27,0,1,6,1,0,34,10,0,2,0,29,0,8907,7,20,1,14,1
OR--DE--0014,96,15,27,0,2,2,4,0,8,0,0,0,4,0,0,17,2861,17,15,0,0
OR--DE--0021,21,27,10,0,15,2,1,11,53,73,0,3,5,8,0,65,21,8718,39,7,0
OR--FE--0007,9,25,7,0,22,37,39,0,2,1,0,27,18,27,0,1,16,28,6541,43,62
OR--FE--0014,3,7,19,0,7,7,3,0,1,0,0,2,16,19,0,12,0,19,47,2846,19
OR--FE--0021,8,5,12,0,0,14,3,0,0,4,0,14,18,4,0,1,0,8,107,26,2078
