,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2873,14,27,0,1,3,0,0,2,0,0,1,0,18,1,4,103,8,4,6,3
B--DE--0014,24,2752,37,0,2,14,5,0,27,6,0,0,27,9,0,18,25,65,30,20,7
B--DE--0021,36,20,2855,0,3,5,0,0,13,13,0,0,0,6,0,32,42,9,3,26,5
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,2,5,0,2188,3,9,0,12,0,0,5,4,20,0,8,4,13,24,5,0
B--FE--0014,6,5,2,0,0,2135,8,1,4,4,0,28,11,7,0,11,4,1,46,14,14
B--FE--0021,0,2,0,0,3,20,2178,0,0,0,0,3,9,28,0,0,4,1,49,1,4
IR--DE--0007,0,0,0,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,8,0,0,0
IR--DE--0014,5,34,23,0,7,7,0,0,2788,2,0,0,0,1,2,28,10,30,3,0,0
IR--DE--0021,0,0,7,0,0,1,0,1,2,2985,0,0,5,0,0,13,0,47,1,1,5
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,2,41,1,0,0,4,0,2214,2,0,0,2,0,2,23,2,8
IR--FE--0014,1,6,0,0,7,12,3,0,0,9,0,10,2168,41,0,1,1,9,16,15,3
IR--FE--0021,20,2,1,0,5,7,14,0,2,0,0,1,28,2165,0,15,0,2,16,24,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,3,3,21,0,1,5,1,1,40,10,0,3,0,11,0,8945,4,19,0,6,1
OR--DE--0014,113,18,40,0,1,2,7,0,9,0,0,0,0,0,0,8,2850,9,10,0,1
OR--DE--0021,10,21,16,0,18,2,1,4,50,57,0,0,6,4,0,34,30,8797,20,6,3
OR--FE--0007,4,17,6,0,23,40,39,3,3,0,0,24,20,17,0,4,18,19,6545,53,69
OR--FE--0014,5,6,18,0,5,7,2,0,0,0,0,4,27,17,0,10,0,16,41,2846,24
OR--FE--0021,3,0,10,0,1,9,2,1,0,4,0,11,15,2,0,0,0,8,99,27,2110
