,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2878,16,24,0,0,4,0,0,3,0,0,0,0,17,1,4,103,7,4,6,1
B--DE--0014,24,2770,28,0,0,7,3,0,33,9,0,0,18,8,1,28,26,52,36,19,6
B--DE--0021,36,32,2790,0,4,8,0,0,21,14,0,0,0,5,0,39,52,16,3,34,14
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,4,4,0,2204,1,11,1,5,1,0,2,1,11,0,11,1,7,33,3,2
B--FE--0014,5,8,3,0,2,2124,7,0,2,4,0,37,11,5,0,16,3,7,48,12,8
B--FE--0021,0,5,0,0,6,12,2186,0,0,0,0,3,3,27,0,2,7,2,41,4,3
IR--DE--0007,0,0,0,0,0,0,0,3067,0,0,0,0,0,0,0,0,0,1,0,0,0
IR--DE--0014,6,38,22,0,7,4,0,0,2756,1,0,2,0,3,1,39,12,44,4,0,0
IR--DE--0021,0,4,1,0,0,1,0,0,0,2995,0,2,3,0,0,6,0,51,0,1,4
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,3,12,1,0,0,0,0,2250,2,0,0,0,0,5,23,1,5
IR--FE--0014,1,12,2,0,7,6,1,0,0,8,0,4,2162,33,0,0,1,12,21,19,12
IR--FE--0021,20,1,3,0,8,4,10,0,1,0,0,1,21,2166,0,16,0,10,17,21,3
N--N--N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13926,0,2,0,0,0,0
OR--DE--0007,7,3,15,0,0,7,0,2,32,0,0,1,2,22,0,8939,8,23,3,10,0
OR--DE--0014,75,18,33,0,1,5,6,0,1,0,0,0,0,0,0,9,2898,11,11,0,0
OR--DE--0021,13,21,13,0,12,4,0,9,47,56,0,6,7,6,0,20,35,8792,23,10,4
OR--FE--0007,5,24,9,0,19,34,32,2,2,1,0,24,28,16,0,2,17,22,6555,40,73
OR--FE--0014,5,7,30,0,4,6,2,0,0,1,0,4,23,29,0,16,0,14,45,2820,21
OR--FE--0021,1,1,10,0,1,10,0,0,1,3,0,9,14,1,0,0,0,5,94,20,2132
