,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2855,11,35,0,0,1,0,0,7,0,0,0,1,22,0,7,104,11,7,6,1
B--DE--0014,21,2778,35,0,5,6,5,0,30,5,0,1,20,1,0,18,35,66,23,15,4
B--DE--0021,24,20,2868,0,1,1,0,0,12,13,0,0,0,3,0,36,36,20,3,24,7
B--DE--0028,0,0,0,767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,2,1,0,2202,2,16,0,7,0,0,3,6,12,0,6,6,16,22,1,0
B--FE--0014,13,3,2,0,0,2109,9,1,4,3,0,32,11,10,0,12,13,1,44,17,17
B--FE--0021,0,3,0,0,5,26,2181,0,0,0,0,2,2,32,0,2,1,1,43,0,4
IR--DE--0007,0,0,0,0,0,0,0,3060,0,0,0,0,0,0,0,0,0,5,2,0,1
IR--DE--0014,6,45,19,0,14,2,0,0,2782,4,0,0,0,1,1,20,12,30,3,0,0
IR--DE--0021,0,1,3,0,0,1,0,0,2,2980,0,3,6,0,0,12,0,48,2,0,10
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,1,0,0,0
IR--FE--0007,0,0,0,0,6,30,2,0,0,5,0,2225,2,0,0,3,0,1,17,8,3
IR--FE--0014,2,15,0,0,3,11,0,0,0,5,0,6,2179,33,0,1,1,10,17,14,4
IR--FE--0021,24,5,1,0,5,6,9,0,4,0,0,0,33,2169,0,12,0,3,9,22,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,4,2,23,0,0,3,1,0,28,8,0,1,0,22,0,8950,2,14,4,11,1
OR--DE--0014,96,12,28,0,1,3,2,0,5,0,0,0,4,1,0,11,2872,21,12,0,0
OR--DE--0021,18,16,9,0,15,2,1,9,43,63,0,2,9,5,0,40,19,8797,28,3,0
OR--FE--0007,11,25,5,0,16,36,37,0,1,1,0,22,17,18,0,1,15,17,6597,33,53
OR--FE--0014,2,3,18,0,3,7,2,0,1,2,0,2,16,14,0,6,0,18,45,2868,20
OR--FE--0021,5,5,12,0,0,14,2,0,0,5,0,9,19,3,0,1,0,9,91,19,2108
