,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2881,29,13,0,0,1,0,0,2,0,0,0,0,14,1,8,95,15,5,1,3
B--DE--0014,22,2763,19,0,3,10,4,0,28,6,0,0,32,6,0,16,10,89,37,19,4
B--DE--0021,53,50,2673,0,1,5,0,0,40,16,0,0,0,4,1,68,60,53,2,34,8
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,4,2,0,2173,3,17,0,15,0,0,1,2,13,0,7,3,12,36,12,2
B--FE--0014,6,5,9,0,1,2108,14,0,6,4,0,45,10,14,0,13,2,2,40,12,10
B--FE--0021,0,2,0,0,7,24,2213,0,0,0,0,1,6,19,0,1,0,0,24,4,1
IR--DE--0007,0,0,0,0,0,0,0,3016,0,0,0,0,0,0,0,0,0,51,0,0,1
IR--DE--0014,13,36,30,0,2,5,0,0,2750,0,0,0,1,0,5,48,12,36,2,0,0
IR--DE--0021,0,2,10,0,0,1,0,0,1,2927,0,0,6,0,0,5,0,114,0,1,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,9,21,1,0,0,2,0,2257,0,0,0,0,0,0,8,0,3
IR--FE--0014,1,2,0,0,2,13,2,0,1,6,0,5,2187,47,0,0,0,5,19,8,4
IR--FE--0021,20,1,0,0,4,2,13,0,2,0,0,1,21,2208,0,11,0,1,7,7,4
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,9,11,10,0,2,3,0,3,24,35,0,5,0,6,0,8926,5,26,3,5,1
OR--DE--0014,210,32,23,0,3,0,8,0,17,0,0,0,0,0,0,18,2738,13,6,0,0
OR--DE--0021,10,30,7,0,10,0,2,5,57,37,0,3,9,8,0,38,18,8827,10,6,2
OR--FE--0007,3,10,2,0,31,45,163,1,3,0,0,34,21,18,0,2,19,11,6454,41,46
OR--FE--0014,8,3,12,0,0,3,3,0,0,0,0,9,37,25,0,2,0,5,35,2875,11
OR--FE--0021,1,2,1,0,2,15,12,1,1,3,0,4,12,2,0,0,0,3,173,20,2050
