,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2888,26,22,0,0,1,0,0,5,0,0,0,1,15,0,12,81,8,0,5,4
B--DE--0014,26,2780,39,0,11,6,1,1,17,7,0,0,31,12,0,27,21,49,19,17,4
B--DE--0021,36,23,2780,0,2,3,0,0,37,4,0,0,0,5,0,56,44,21,14,34,9
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,2,0,0,2220,2,5,1,10,0,0,4,4,7,0,9,4,13,12,5,3
B--FE--0014,8,6,7,0,0,2008,9,0,12,4,0,108,20,14,0,10,6,9,53,13,15
B--FE--0021,0,3,0,0,33,33,2155,0,0,1,0,7,12,13,0,1,1,0,31,9,3
IR--DE--0007,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,0,0,0,2,0,0,0
IR--DE--0014,11,35,36,0,9,1,0,0,2704,0,0,3,0,1,0,79,22,37,2,0,0
IR--DE--0021,0,1,21,0,0,0,0,0,1,2970,0,1,6,0,0,14,0,54,0,0,0
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,1,0,0,3,2,0,0,0,2,0,2272,0,3,0,5,0,4,3,0,6
IR--FE--0014,3,5,0,0,5,10,4,0,1,3,0,3,2168,74,0,0,1,3,6,10,6
IR--FE--0021,23,0,1,0,10,0,14,0,1,0,0,2,6,2209,0,16,0,3,6,9,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,17,4,12,0,1,1,1,0,16,7,0,1,0,10,0,8964,5,22,0,13,0
OR--DE--0014,191,15,51,0,3,0,4,0,4,0,0,0,0,0,0,15,2754,23,8,0,0
OR--DE--0021,24,30,11,0,17,0,1,27,35,61,0,0,8,8,0,30,20,8787,10,10,0
OR--FE--0007,4,19,3,0,47,21,40,0,1,4,0,50,18,16,0,4,12,20,6451,79,116
OR--FE--0014,7,3,18,0,1,5,0,1,0,1,0,7,11,29,0,16,0,10,23,2884,12
OR--FE--0021,3,3,5,0,1,5,4,0,0,12,0,21,22,9,0,0,0,7,114,19,2076
