,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2847,10,25,0,1,7,0,0,3,0,0,0,0,9,0,5,143,9,3,3,3
B--DE--0014,18,2769,45,0,2,16,7,0,30,8,0,0,27,7,1,16,30,64,17,8,3
B--DE--0021,33,17,2781,0,6,8,0,0,74,25,0,1,0,1,0,32,56,13,3,15,3
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,3,0,0,2176,2,20,0,8,1,0,36,2,12,0,3,2,10,21,5,1
B--FE--0014,2,2,4,0,0,2183,15,0,5,8,0,31,16,2,0,6,2,1,17,2,5
B--FE--0021,0,1,0,0,15,25,2189,0,0,0,0,12,8,22,0,0,1,1,22,1,5
IR--DE--0007,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,0,0,0,2,0,0,0
IR--DE--0014,14,32,25,0,11,3,0,0,2764,1,0,0,0,0,1,33,19,35,2,0,0
IR--DE--0021,0,3,3,0,0,1,0,0,1,3017,0,2,7,0,0,9,0,23,0,0,2
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,0,32,0,0,0,4,0,2260,0,0,0,2,0,1,1,0,1
IR--FE--0014,1,14,0,0,3,8,1,0,0,2,0,8,2228,10,0,1,0,10,6,8,2
IR--FE--0021,14,3,2,0,5,2,5,0,2,0,0,2,61,2172,0,10,0,3,1,16,4
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,9,11,16,0,2,2,0,2,41,19,0,0,0,9,0,8921,1,35,3,2,1
OR--DE--0014,123,9,41,0,1,0,4,0,5,0,0,0,0,0,0,14,2860,4,6,0,1
OR--DE--0021,27,46,18,0,12,3,0,26,45,88,0,2,13,7,2,24,19,8739,4,4,0
OR--FE--0007,3,18,3,0,33,74,78,1,2,1,0,49,38,15,0,5,29,20,6278,34,223
OR--FE--0014,6,7,11,0,0,18,3,0,0,0,0,12,22,13,0,2,0,8,36,2872,18
OR--FE--0021,0,0,10,0,4,18,0,5,0,4,0,11,24,2,0,0,0,11,33,18,2162
