,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2806,41,35,0,0,3,0,0,7,0,0,0,2,7,0,2,121,23,7,7,7
B--DE--0014,24,2735,62,0,4,8,1,0,13,6,0,0,30,1,3,12,35,98,25,8,3
B--DE--0021,38,30,2816,0,0,9,0,0,25,7,0,0,0,4,0,20,47,17,3,43,9
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,2,2,0,2197,1,14,1,9,0,0,17,2,14,0,3,4,11,20,2,2
B--FE--0014,3,8,8,0,0,2136,26,0,3,5,0,25,10,5,0,7,4,5,39,9,9
B--FE--0021,0,4,0,0,17,23,2189,0,0,0,0,3,8,21,0,0,0,0,35,0,2
IR--DE--0007,0,0,0,0,0,0,0,3066,0,0,0,0,0,0,0,0,0,2,0,0,0
IR--DE--0014,8,58,44,0,14,5,0,0,2658,0,0,0,0,8,0,77,24,41,3,0,0
IR--DE--0021,0,0,16,0,0,2,0,0,0,2974,0,1,1,0,0,6,0,66,0,0,2
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,1,0,0,0,0,0
IR--FE--0007,0,0,0,0,1,28,1,0,0,3,0,2238,0,1,0,1,0,2,16,2,8
IR--FE--0014,0,23,0,0,2,11,4,0,0,3,0,2,2191,23,0,1,0,7,11,8,16
IR--FE--0021,28,4,1,0,5,1,12,0,2,0,0,1,27,2200,0,3,0,2,5,8,2
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,25,8,30,0,3,5,0,0,19,20,0,5,0,33,0,8856,18,39,3,10,0
OR--DE--0014,157,10,48,0,0,4,3,0,10,0,0,0,0,0,2,4,2804,14,12,0,0
OR--DE--0021,18,21,19,0,13,1,1,21,32,47,0,0,8,3,0,19,13,8847,6,6,4
OR--FE--0007,2,15,4,0,23,42,41,1,0,1,0,18,10,15,0,1,7,15,6636,27,47
OR--FE--0014,4,10,9,0,2,12,7,1,0,2,0,5,13,14,0,7,0,9,21,2898,14
OR--FE--0021,0,5,7,0,2,15,3,0,0,4,0,7,9,3,0,0,0,4,151,13,2078
