,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2870,7,36,0,0,1,0,0,5,0,0,0,2,20,1,17,73,22,4,4,6
B--DE--0014,23,2773,23,0,2,12,5,1,31,7,0,1,33,3,0,15,28,71,24,8,8
B--DE--0021,18,26,2789,0,1,8,0,0,27,25,0,0,0,6,0,39,55,16,3,39,16
B--DE--0028,0,0,0,766,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B--FE--0007,1,4,4,0,2203,1,16,1,0,0,0,0,2,13,0,1,2,22,26,1,5
B--FE--0014,2,3,2,0,0,2121,19,0,4,1,0,46,5,11,0,8,2,2,46,11,18
B--FE--0021,0,2,0,0,28,22,2181,0,0,0,0,0,3,25,0,0,1,1,38,0,1
IR--DE--0007,0,0,0,0,0,0,0,3061,0,0,0,0,0,0,0,0,0,7,0,0,0
IR--DE--0014,9,58,49,0,15,2,0,0,2690,5,0,0,0,6,2,45,9,46,2,0,1
IR--DE--0021,0,1,0,0,0,1,0,1,1,2994,0,1,3,0,0,13,0,50,1,0,2
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,14,10,2,0,0,3,0,2247,3,0,0,1,0,2,12,5,3
IR--FE--0014,0,11,0,0,4,10,1,0,0,16,0,1,2182,29,0,0,0,8,13,11,15
IR--FE--0021,11,2,0,0,2,2,8,0,1,0,0,0,24,2230,0,3,0,3,6,9,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,8,3,19,0,0,4,0,0,22,13,0,2,0,42,0,8920,2,21,3,14,1
OR--DE--0014,206,30,27,0,2,2,0,0,14,0,0,0,0,0,0,23,2729,17,18,0,0
OR--DE--0021,14,52,13,0,9,6,0,28,26,87,0,0,3,10,0,24,10,8774,14,5,4
OR--FE--0007,4,10,3,0,25,23,49,0,0,0,0,24,6,9,0,0,9,17,6602,22,102
OR--FE--0014,4,0,6,0,2,4,3,0,0,1,0,2,19,22,0,3,1,15,27,2892,26
OR--FE--0021,4,0,2,0,1,14,4,0,0,5,0,8,7,2,0,0,0,3,76,14,2162
