,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2622,42,58,0,0,7,0,0,13,0,0,0,1,32,0,24,234,23,1,9,2
B--DE--0014,56,2524,84,0,5,4,1,0,37,10,0,0,44,15,3,38,55,152,27,9,4
B--DE--0021,82,36,2548,0,8,5,0,0,54,40,0,0,0,8,0,62,130,28,2,56,9
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,9,6,0,2068,2,44,2,17,0,0,6,14,31,0,12,3,26,52,8,1
B--FE--0014,12,16,4,0,0,1924,31,0,15,5,0,28,39,32,0,33,4,4,95,37,23
B--FE--0021,0,7,0,0,107,23,1986,0,0,0,0,6,17,35,0,0,4,0,100,9,8
IR--DE--0007,0,0,0,0,0,0,0,3056,0,0,0,0,0,0,0,0,0,10,2,0,0
IR--DE--0014,21,47,78,0,16,12,1,0,2583,2,0,2,0,4,0,59,20,83,12,0,0
IR--DE--0021,0,2,15,0,0,1,0,0,0,2958,0,1,25,0,0,13,1,49,0,0,3
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,40,36,7,1,0,7,0,2137,3,1,0,3,0,7,37,13,9
IR--FE--0014,1,9,0,0,25,15,8,0,0,16,0,2,2097,62,0,1,2,4,17,14,29
IR--FE--0021,16,0,4,0,6,6,9,0,2,0,0,3,16,2186,0,8,0,3,7,35,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,18,3,27,0,3,10,0,0,78,42,0,8,0,48,0,8761,10,48,5,13,0
OR--DE--0014,158,15,58,0,1,3,9,0,14,0,0,0,2,0,2,33,2740,15,17,0,1
OR--DE--0021,28,72,50,0,41,4,2,58,92,177,0,1,21,5,1,72,58,8353,29,12,3
OR--FE--0007,4,32,11,0,52,17,50,1,0,2,0,24,29,57,0,4,26,41,6402,66,87
OR--FE--0014,10,0,27,0,2,4,4,1,0,1,0,8,23,47,0,13,0,25,36,2804,23
OR--FE--0021,4,2,25,0,2,20,5,1,0,2,0,27,36,6,0,1,0,13,298,33,1826
