,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2717,18,78,0,1,24,0,0,13,0,0,2,2,51,0,14,106,29,6,7,0
B--DE--0014,98,2119,145,0,23,28,11,0,62,16,0,1,90,26,1,73,49,256,43,18,9
B--DE--0021,67,8,2513,0,3,12,0,0,37,74,0,0,1,11,0,104,85,28,5,95,25
B--DE--0028,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
B--FE--0007,0,1,7,0,1966,2,143,0,13,1,0,23,12,38,0,8,2,29,50,7,0
B--FE--0014,8,1,0,0,5,1975,17,0,20,9,0,85,42,19,0,36,10,10,24,27,13
B--FE--0021,0,1,0,0,87,43,2001,0,0,0,0,9,16,52,0,1,1,0,64,17,10
IR--DE--0007,0,0,0,0,0,0,0,3041,0,0,0,0,0,0,0,0,0,24,2,0,1
IR--DE--0014,28,15,75,0,10,21,1,1,2516,10,0,2,0,4,0,106,29,109,12,1,0
IR--DE--0021,0,0,3,0,0,5,0,0,0,2917,0,6,29,0,0,21,0,78,0,2,7
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,10,29,1,0,1,6,0,2236,0,0,0,1,0,2,7,2,6
IR--FE--0014,0,1,0,0,17,11,2,0,0,16,0,12,2146,54,0,1,0,12,8,9,13
IR--FE--0021,9,0,0,0,4,10,12,0,1,0,0,10,49,2123,0,5,0,4,20,53,2
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,17,0,28,0,2,14,0,2,58,50,0,15,0,49,0,8756,8,50,2,22,1
OR--DE--0014,277,1,157,0,2,2,13,0,11,1,0,0,1,0,0,83,2459,33,27,0,1
OR--DE--0021,18,14,43,0,53,4,1,19,116,211,0,5,20,12,0,83,45,8386,31,16,2
OR--FE--0007,3,2,2,0,70,99,163,4,0,0,0,119,65,31,0,2,23,18,6023,120,160
OR--FE--0014,1,0,7,0,2,17,2,0,0,1,0,7,57,36,0,9,0,14,43,2813,19
OR--FE--0021,1,0,8,0,3,25,17,1,0,6,0,47,40,5,0,0,0,9,225,48,1867
