,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2438,37,145,0,0,11,0,0,32,0,0,0,0,33,1,61,259,41,1,6,3
B--DE--0014,43,2311,121,0,6,13,18,1,71,22,0,0,51,20,0,57,49,258,11,11,5
B--DE--0021,47,22,2593,0,3,14,0,0,72,72,0,0,0,8,4,99,27,41,6,47,13
B--DE--0028,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
B--FE--0007,0,3,11,0,2077,2,23,0,15,3,0,27,11,30,0,10,4,42,38,5,0
B--FE--0014,5,2,5,0,0,2012,39,1,21,25,0,25,29,17,0,38,2,11,34,18,18
B--FE--0021,0,5,0,0,221,40,1832,0,0,0,0,2,12,46,0,1,14,1,99,21,7
IR--DE--0007,0,0,0,0,0,0,0,3038,0,0,0,2,0,0,0,0,0,28,0,0,0
IR--DE--0014,13,18,70,0,12,2,0,0,2688,5,0,0,0,0,6,56,7,59,4,0,0
IR--DE--0021,0,0,2,0,0,2,0,1,0,2967,0,8,15,1,0,20,0,49,0,1,2
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,11,51,1,0,2,4,0,2194,1,2,0,2,0,0,19,4,11
IR--FE--0014,1,5,0,0,20,20,2,0,0,18,0,1,2096,91,0,0,0,16,8,12,12
IR--FE--0021,17,0,0,0,1,8,6,0,3,0,0,1,31,2161,0,30,0,8,9,26,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,10,4,18,0,0,3,0,1,85,48,0,7,0,23,0,8811,1,50,2,11,0
OR--DE--0014,116,6,215,0,3,3,2,0,25,1,0,0,2,0,0,88,2551,41,15,0,0
OR--DE--0021,20,18,45,0,24,4,0,27,160,197,0,4,17,7,1,71,49,8408,19,8,0
OR--FE--0007,5,27,8,0,53,113,93,4,7,1,0,43,46,73,0,9,36,52,6193,86,56
OR--FE--0014,2,1,34,0,2,10,0,0,0,3,0,15,33,38,0,20,0,11,56,2783,20
OR--FE--0021,3,2,36,0,2,34,7,4,4,4,0,29,57,6,0,1,0,14,385,22,1691
